====================================================
 CLIMATE ZONING – LEAF SPOT (PEANUT)
 State: Mato Grosso (MT)
 Window: September–April
 Final Classes: 1=High | 2=Moderate | 3=Low
 ====================================================

Normal: 2011_2040 | Scenario: SSP126 
 % High: 9.01 | % Moderate: 90.99 | % Low: 0 

Normal: 2011_2040 | Scenario: SSP370 
 % High: 8.96 | % Moderate: 91.04 | % Low: 0 

Normal: 2011_2040 | Scenario: SSP585 
 % High: 8.77 | % Moderate: 91.23 | % Low: 0 

Normal: 2041_2070 | Scenario: SSP126 
 % High: 4.87 | % Moderate: 95.13 | % Low: 0 

Normal: 2041_2070 | Scenario: SSP370 
 % High: 1.48 | % Moderate: 95.17 | % Low: 3.36 

Normal: 2041_2070 | Scenario: SSP585 
 % High: 1.33 | % Moderate: 85.94 | % Low: 12.73 

Normal: 2071_2100 | Scenario: SSP126 
 % High: 4.13 | % Moderate: 95.87 | % Low: 0 

Normal: 2071_2100 | Scenario: SSP370 
 % High: 0.01 | % Moderate: 65 | % Low: 34.99 

Normal: 2071_2100 | Scenario: SSP585 
 % High: 0 | % Moderate: 9.43 | % Low: 90.57 
