====================================================
 CLIMATE ZONING - CERCOSPORA LEAF SPOT (PEANUT)
 State: Florida (FL)
 Window: March-November (FL planting-harvest cycle)
 Final classes: 1=High | 2=Moderate | 3=Low
 ====================================================

Normal: 2011_2040 | Scenario: SSP126 
 % High: 96.74 | % Moderate: 3.26 | % Low: 0 

Normal: 2011_2040 | Scenario: SSP370 
 % High: 96.43 | % Moderate: 3.57 | % Low: 0 

Normal: 2011_2040 | Scenario: SSP585 
 % High: 96.2 | % Moderate: 3.8 | % Low: 0 

Normal: 2041_2070 | Scenario: SSP126 
 % High: 94.84 | % Moderate: 5.16 | % Low: 0 

Normal: 2041_2070 | Scenario: SSP370 
 % High: 97.32 | % Moderate: 2.68 | % Low: 0 

Normal: 2041_2070 | Scenario: SSP585 
 % High: 96.2 | % Moderate: 3.8 | % Low: 0 

Normal: 2071_2100 | Scenario: SSP126 
 % High: 96.26 | % Moderate: 3.74 | % Low: 0 

Normal: 2071_2100 | Scenario: SSP370 
 % High: 69.95 | % Moderate: 30.05 | % Low: 0 

Normal: 2071_2100 | Scenario: SSP585 
 % High: 46.83 | % Moderate: 53.17 | % Low: 0 

