====================================================
 CLIMATE ZONING - CERCOSPORA LEAF SPOT (PEANUT)
 State: Georgia (GA)
 Window: April-October (GA planting-harvest cycle)
 Final classes: 1=High | 2=Moderate | 3=Low
 ====================================================

Normal: 2011_2040 | Scenario: SSP126 
 % High: 93.79 | % Moderate: 4.51 | % Low: 1.7 

Normal: 2011_2040 | Scenario: SSP370 
 % High: 94.44 | % Moderate: 4.07 | % Low: 1.5 

Normal: 2011_2040 | Scenario: SSP585 
 % High: 94.51 | % Moderate: 4.03 | % Low: 1.46 

Normal: 2041_2070 | Scenario: SSP126 
 % High: 95.74 | % Moderate: 3.23 | % Low: 1.03 

Normal: 2041_2070 | Scenario: SSP370 
 % High: 97.86 | % Moderate: 1.82 | % Low: 0.32 

Normal: 2041_2070 | Scenario: SSP585 
 % High: 98.3 | % Moderate: 1.48 | % Low: 0.22 

Normal: 2071_2100 | Scenario: SSP126 
 % High: 95.7 | % Moderate: 3.26 | % Low: 1.04 

Normal: 2071_2100 | Scenario: SSP370 
 % High: 93.37 | % Moderate: 6.61 | % Low: 0.02 

Normal: 2071_2100 | Scenario: SSP585 
 % High: 39.51 | % Moderate: 60.49 | % Low: 0 

