====================================================
 CLIMATE ZONING - CERCOSPORA LEAF SPOT (PEANUT)
 State: North Carolina (NC)
 Window: May-October (NC planting-harvest cycle, Virginia type)
 Final classes: 1=High | 2=Moderate | 3=Low
 ====================================================

Normal: 2011_2040 | Scenario: SSP126 
 % High: 82.16 | % Moderate: 7.33 | % Low: 10.51 

Normal: 2011_2040 | Scenario: SSP370 
 % High: 83.32 | % Moderate: 6.6 | % Low: 10.08 

Normal: 2011_2040 | Scenario: SSP585 
 % High: 83.23 | % Moderate: 6.76 | % Low: 10.01 

Normal: 2041_2070 | Scenario: SSP126 
 % High: 85.11 | % Moderate: 6.37 | % Low: 8.52 

Normal: 2041_2070 | Scenario: SSP370 
 % High: 88.71 | % Moderate: 6.58 | % Low: 4.7 

Normal: 2041_2070 | Scenario: SSP585 
 % High: 89.56 | % Moderate: 6.43 | % Low: 4 

Normal: 2071_2100 | Scenario: SSP126 
 % High: 85.08 | % Moderate: 6.36 | % Low: 8.56 

Normal: 2071_2100 | Scenario: SSP370 
 % High: 94.41 | % Moderate: 4.25 | % Low: 1.34 

Normal: 2071_2100 | Scenario: SSP585 
 % High: 65.76 | % Moderate: 33.65 | % Low: 0.6 

