====================================================
 CLIMATE ZONING - CERCOSPORA LEAF SPOT (PEANUT)
 State: Texas (TX)
 Window: April-November (TX planting-harvest cycle, sub-regions)
 Final classes: 1=High | 2=Moderate | 3=Low
 ====================================================

Normal: 2011_2040 | Scenario: SSP126 
 % High: 68.17 | % Moderate: 12.37 | % Low: 19.46 

Normal: 2011_2040 | Scenario: SSP370 
 % High: 69.22 | % Moderate: 12.23 | % Low: 18.56 

Normal: 2011_2040 | Scenario: SSP585 
 % High: 68.46 | % Moderate: 13.05 | % Low: 18.49 

Normal: 2041_2070 | Scenario: SSP126 
 % High: 68.78 | % Moderate: 13.27 | % Low: 17.96 

Normal: 2041_2070 | Scenario: SSP370 
 % High: 70.08 | % Moderate: 9.67 | % Low: 20.25 

Normal: 2041_2070 | Scenario: SSP585 
 % High: 71.81 | % Moderate: 10.1 | % Low: 18.09 

Normal: 2071_2100 | Scenario: SSP126 
 % High: 67.96 | % Moderate: 14.49 | % Low: 17.55 

Normal: 2071_2100 | Scenario: SSP370 
 % High: 61.52 | % Moderate: 16.4 | % Low: 22.08 

Normal: 2071_2100 | Scenario: SSP585 
 % High: 32.74 | % Moderate: 41.13 | % Low: 26.13 

